#node1	node2	combined_score
FMS1	NCP1	0.909
FMS1	TES1	0.9
FMS1	FOX2	0.909
FMS1	PCD1	0.905
FMS1	IDP2	0.9
FMS1	STE23	0.914
FMS1	SPS19	0.932
FMS1	HFD1	0.95
FOX2	YAT1	0.803
FOX2	PRE7	0.748
FOX2	MDH3	0.793
FOX2	PEX5	0.994
FOX2	PEX10	0.747
FOX2	PXP1	0.915
FOX2	YAT2	0.836
FOX2	ICL1	0.902
FOX2	PEX14	0.736
FOX2	POX1	0.999
FOX2	GUT1	0.809
FOX2	NCP1	0.911
FOX2	GUT2	0.816
FOX2	POT1	0.999
FOX2	TES1	0.99
FOX2	MAE1	0.905
FOX2	PXA2	0.962
FOX2	PEX1	0.909
FOX2	PEX13	0.742
FOX2	PEX6	0.785
FOX2	PEX12	0.805
FOX2	MLS1	0.818
FOX2	STE23	0.9
FOX2	PCD1	0.933
FOX2	PEX11	0.959
FOX2	IDP2	0.968
FOX2	PXA1	0.994
FOX2	SPS19	0.994
GCY1	GPP2	0.979
GCY1	GUT1	0.975
GCY1	GPP1	0.973
GCY1	GUT2	0.748
GCY1	YJU3	0.901
GLN1	SAH1	0.733
GLN1	OLE1	0.724
GLN1	UGA1	0.79
GLN1	HFD1	0.844
GPP1	SCT1	0.9
GPP1	GPP2	0.973
GPP1	GUT1	0.959
GPP1	GUT2	0.706
GPP1	GPT2	0.9
GPP1	YJU3	0.901
GPP2	SCT1	0.9
GPP2	GPT2	0.9
GPP2	YJU3	0.901
GPP2	GUT1	0.959
GPT2	SCT1	0.959
GPT2	SLC1	0.97
GPT2	LPP1	0.907
GPT2	PHM8	0.908
GPT2	OLE1	0.825
GPT2	PSD2	0.711
GPT2	GUT1	0.906
GPT2	GUT2	0.941
GPT2	OPI3	0.714
GPT2	PIS1	0.702
GPT2	TGL3	0.714
GPT2	PAH1	0.95
GPT2	TGL4	0.959
GPT2	TGL5	0.962
GPT2	LOA1	0.974
GUT1	SCT1	0.917
GUT1	POX1	0.89
GUT1	YJU3	0.917
GUT1	GUT2	0.999
GUT2	SCT1	0.943
GUT2	SLC1	0.835
GUT2	LPP1	0.81
GUT2	POX1	0.87
GUT2	IDP2	0.763
GUT2	LOA1	0.821
GUT2	TGL5	0.828
GUT2	PAH1	0.864
GUT2	TGL4	0.894
HAT1	YJU3	0.7
HEM13	HEM3	0.985
HEM13	HMS1	0.711
HEM13	OLE1	0.763
HEM3	OLE1	0.745
HFA1	OLE1	0.704
HFA1	HTD2	0.73
HFA1	MLS1	0.9
HFA1	LAT1	0.918
HFA1	MCT1	0.969
HFD1	PEX14	0.9
HFD1	POX1	0.863
HFD1	UGA1	0.951
HFD1	PXA2	0.928
HFD1	PEX13	0.9
HFD1	PEX12	0.901
HFD1	PEX11	0.904
HFD1	PXA1	0.931
HMG1	OLE1	0.812
HMG1	HRD1.00	0.741
HMS1	OLE1	0.777
HRD1.00	NPL4	0.999
HRD1.00	RSP5	0.705
HRD1.00	OLE1	0.804
HRD1.00	UBX2	0.999
HTD2	MCT1	0.813
HTD2	LIP2	0.847
HTD2	OAR1	0.987
ICL1	YAT1	0.75
ICL1	MDH3	0.818
ICL1	PEX5	0.795
ICL1	YAT2	0.977
ICL1	POX1	0.829
ICL1	IDP2	0.982
ICL1	MLS1	0.999
IDP2	MDH3	0.824
IDP2	PXP1	0.912
IDP2	POX1	0.965
IDP2	NCP1	0.914
IDP2	TES1	0.92
IDP2	PCD1	0.9
IDP2	STE23	0.901
IDP2	SPS19	0.947
IDP2	IDP3	0.982
IDP2	MLS1	0.986
IDP3	MDH3	0.724
IDP3	POX1	0.759
IDP3	SPS19	0.768
IFA38	OAR1	0.88
IFA38	OLE1	0.962
IFA38	PHS1	0.995
IFA38	TSC13	0.996
INA1	IZH1	0.77
IZH2	OLE1	0.809
LAT1	MDH3	0.726
LAT1	POT1	0.899
LAT1	MLS1	0.918
LCB2	OLE1	0.764
LCB2	SCS7	0.844
LDH1	TGL5	0.762
LDH1	TGL1	0.763
LDH1	YPR147C	0.765
LDH1	TGL4	0.81
LDH1	YJU3	0.858
LDH1	TGL3	0.89
LOA1	SCT1	0.97
LOA1	SLC1	0.932
LOA1	LPP1	0.737
LOA1	PHM8	0.903
LOA1	SPO14	0.925
LOA1	TGL4	0.891
LOA1	PAH1	0.879
LOA1	TGL5	0.92
LPP1	SCT1	0.925
LPP1	SLC1	0.965
LPP1	OPI3	0.705
LPP1	PIS1	0.717
LPP1	OLE1	0.72
LPP1	TGL4	0.791
LPP1	TGL5	0.848
LPP1	TGL3	0.912
LPP1	SPO14	0.964
LPP1	LRO1	0.975
LPP1	PAH1	0.996
LRO1	SCT1	0.855
LRO1	SLC1	0.791
LRO1	TGL2	0.948
LRO1	OLE1	0.852
LRO1	PCT1	0.715
